parcela_id,idade,hdom,Ht_estimado,Fator,1,2,3,4,5,classificação,reclass,Classe,IS
1,3,15.009,16.0742499730199,0.9337294135149145,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,4.0,,2,27.771810652482515
1,4,22.789,21.0528630099439,1.0824656004856001,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,2,27.771810652482515
1,5,24.904,23.14589004392946,1.0759577597894814,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,2.0,,2,27.771810652482515
1,6,25.9,23.929486354640673,1.0823466754010447,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,2.0,2,27.771810652482515
2,3,15.73,16.0742499730199,0.9785837613824775,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
2,4,22.396,21.0528630099439,1.0637983056946554,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,3.0,,3,24.771810652482515
2,5,24.475,23.14589004392946,1.0574231517365706,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
2,6,25.454,23.929486354640673,1.063708582071745,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,3.0,3.0,3,24.771810652482515
3,3,15.582,16.0742499730199,0.9693764888659736,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
3,4,20.343,21.0528630099439,0.9662818776900506,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,3.0,,3,24.771810652482515
3,5,22.228,23.14589004392946,0.9603432815853113,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
3,6,23.117,23.929486354640673,0.9660466446040908,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,3.0,3.0,3,24.771810652482515
4,3,15.367,16.0742499730199,0.9560010591967281,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
4,4,20.357,21.0528630099439,0.9669468703798043,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,3.0,,3,24.771810652482515
4,5,22.248,23.14589004392946,0.9612073658768223,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
4,6,23.138,23.929486354640673,0.9669242229895513,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,3.0,3.0,3,24.771810652482515
5,3,15.675,16.0742499730199,0.9751621398391821,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,4,21.771810652482515
5,4,19.813,21.0528630099439,0.9411071544350869,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,4.0,,4,21.771810652482515
5,5,21.65,23.14589004392946,0.9353712455606437,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,4.0,,4,21.771810652482515
5,6,22.516,23.929486354640673,0.9409311870011553,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,4.0,4.0,4,21.771810652482515
6,3,16.122,16.0742499730199,1.0029705912910554,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
6,4,20.674,21.0528630099439,0.982004204854943,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,3.0,,3,24.771810652482515
6,5,22.59,23.14589004392946,0.9759832072616601,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
6,6,23.494,23.929486354640673,0.9818012660954497,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,3.0,3.0,3,24.771810652482515
7,3,15.46,16.0742499730199,0.9617867101699366,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,3,24.771810652482515
7,4,22.675,21.0528630099439,1.077050660011891,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,3,24.771810652482515
7,5,24.779,23.14589004392946,1.0705572329675377,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,3.0,,3,24.771810652482515
7,6,25.77,23.929486354640673,1.0769140473005763,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,3.0,3,24.771810652482515
8,3,16.472,16.0742499730199,1.0247445465665714,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,2,27.771810652482515
8,4,23.072,21.0528630099439,1.095907952714194,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,2,27.771810652482515
8,5,25.214,23.14589004392946,1.0893510663079016,19.12014701817146,21.988169070897175,24.856191123622896,27.724213176348616,30.592235229074333,2.0,,2,27.771810652482515
8,6,26.223,23.929486354640673,1.0958446667583628,19.767453154822903,22.73257112804634,25.697689101269777,28.662807074493216,31.627925047716648,2.0,2.0,2,27.771810652482515
9,3,16.292,16.0742499730199,1.0135465124248775,13.27847069642442,15.270241300888083,17.262011905351745,19.253782509815412,21.245553114279073,3.0,,2,27.771810652482515
9,4,22.872,21.0528630099439,1.086408057146283,17.391158220295992,19.999831953340394,22.60850568638479,25.217179419429193,27.82585315247359,2.0,,2,27.771810652482515
